# File Name: D:\q37_U64_16s_Phagemid.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: QS3RTPCR_Stadler
# Instrument Serial Number: 272310264
# Heated Cover Serial Number:
# Block serial number: 38161665
# Run Start Date/Time: 2024-07-16 04:10:29 PM CDT
# Run End Data/Time: 2024-07-16 05:00:04 PM CDT
# Run Duration: 49 minutes 35 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-07-16 05:14:20 PM CDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-07-16 05:15:22 PM CDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"52","E4","FALSE","Positive Control","RAM","UNKNOWN","FAM","NFQ-MGB","AMP","1.0134953504475581","","","30.17741477725697","0.972907799619165","30.221894823095656","0.06290428408023592","TRUE","0.03999999910593033","TRUE","3","26"
"55","E7","FALSE","Cf - 70","16s","UNKNOWN","SYBR","None","AMP","1.2628083763954874","","","7.009410587682314","0.9401645142448606","6.023323576291567","0.8580832641626467","FALSE","0.09808","TRUE","3","3"
"56","E8","FALSE","Cf - 70","16s","UNKNOWN","SYBR","None","AMP","1.262862764682506","","","5.614132278145412","0.9223358409690813","6.023323576291567","0.8580832641626467","FALSE","0.09808","TRUE","3","3"
"57","E9","FALSE","Cf - 70","16s","UNKNOWN","SYBR","None","AMP","1.266575166502923","","","5.446427863046973","0.928283066537298","6.023323576291567","0.8580832641626467","FALSE","0.09808","TRUE","3","3"
"58","E10","FALSE","Positive Control","16s","UNKNOWN","SYBR","None","AMP","1.2520580353860782","","","9.145090845304736","0.9910234838217146","12.792595280524433","6.933717985523381","FALSE","0.09808","TRUE","3","5"
"61","F1","FALSE","Ec - 70","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","AMP","1.2546381528293769","","","21.06251704788273","0.9772799051564321","21.844021640479824","0.7307716454813895","FALSE","0.1111323","TRUE","3","17"
"61","F1","FALSE","Ec - 70","RAM","UNKNOWN","FAM","NFQ-MGB","AMP","0.9727325754565554","","","32.979437094191326","0.9688522676403968","33.996514873046316","0.9818529312831387","TRUE","0.03999999910593033","TRUE","3","29"
"62","F2","FALSE","Ec - 70","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","AMP","1.2661118801688824","","","21.959156218458652","0.9842266566840089","21.844021640479824","0.7307716454813895","FALSE","0.1111323","TRUE","3","17"
"62","F2","FALSE","Ec - 70","RAM","UNKNOWN","FAM","NFQ-MGB","AMP","0.9490515801304974","","","34.071233785422294","0.9570012533320844","33.996514873046316","0.9818529312831387","TRUE","0.03999999910593033","TRUE","3","30"
"63","F3","FALSE","Ec - 70","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","AMP","1.264498821605897","","","22.51039165509809","0.9828100541154103","21.844021640479824","0.7307716454813895","FALSE","0.1111323","TRUE","3","18"
"63","F3","FALSE","Ec - 70","RAM","UNKNOWN","FAM","NFQ-MGB","AMP","0.8935534205437909","","","34.938873739525334","0.9306228738918993","33.996514873046316","0.9818529312831387","TRUE","0.03999999910593033","TRUE","3","31"
"64","F4","FALSE","Positive Control","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","INCONCLUSIVE","1.0379664842097318","","","37.205334587583344","0.9205958341818458","24.246933414965483","11.222362632066089","FALSE","0.1111323","TRUE","3","33"
"64","F4","FALSE","Positive Control","RAM","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.03999999910593033","TRUE","3","39"
"67","F7","FALSE","Ec - 70","16s","UNKNOWN","SYBR","None","AMP","1.2657446236620673","","","8.801227137179428","0.9458817832662102","7.547079303943616","1.2662475111192104","FALSE","0.09808","TRUE","3","5"
"68","F8","FALSE","Ec - 70","16s","UNKNOWN","SYBR","None","AMP","1.2637932288711002","","","7.570941381650817","0.9303686304781403","7.547079303943616","1.2662475111192104","FALSE","0.09808","TRUE","3","4"
"69","F9","FALSE","Ec - 70","16s","UNKNOWN","SYBR","None","AMP","1.2642077700522323","","","6.269069393000606","0.909328669948804","7.547079303943616","1.2662475111192104","FALSE","0.09808","TRUE","3","3"
"70","F10","FALSE","Positive Control","16s","UNKNOWN","SYBR","None","AMP","1.2715233956593657","","","20.78872375441191","0.992335463116873","12.792595280524433","6.933717985523381","FALSE","0.09808","TRUE","3","16"
"73","G1","FALSE","Pa - 70","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","AMP","1.2391724940047892","","","30.974741230232283","0.9740302145965789","29.439820931216286","2.1463560372070902","FALSE","0.1111323","TRUE","3","27"
"73","G1","FALSE","Pa - 70","RAM","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.03999999910593033","TRUE","3","39"
"74","G2","FALSE","Pa - 70","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","AMP","1.2620317408916075","","","30.357548900348696","0.9742128344203771","29.439820931216286","2.1463560372070902","FALSE","0.1111323","TRUE","3","25"
"74","G2","FALSE","Pa - 70","RAM","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.03999999910593033","TRUE","3","39"
"75","G3","FALSE","Pa - 70","BeforeSplice","UNKNOWN","VIC","NFQ-MGB","AMP","1.2630796518282672","","","26.987172663067874","0.9784148524030528","29.439820931216286","2.1463560372070902","FALSE","0.1111323","TRUE","3","22"
